Order,Exam #,Question #,Difficulty Level,Domain,Question Text,Selection Criteria,Selections,Correct Answers & Selections,# of Choices,# of Correct,Occurrence,Success,Fail,Exam Number,Unnamed: 15,Unnamed: 16
11,Exam 1,Question 11,Medium,Self-Service & Automation,What is created when an order is placed for a catalogue item?,Select 3 Answers from the below options.,A Request (REQ) record + A Variable Set + One or more Service Catalog Task (SCTASK) records + A Variable + A Requested Item (RITM) record,A Request (REQ) record + One or more Service Catalog Task (SCTASK) records + A Requested Item (RITM) record,5,3,15,0,0,0,,
12,Exam 1,Question 12,Hard,Database Management,The CMDB is the authoritative source of what information?,Select 3 Answers from the below options.,Contact + Owner + Server log files + Contents of all server and application configuration files + Support group,Contact + Owner + Support group,5,3,10,0,0,0,,
13,Exam 1,Question 13,Easy,Configuring Applications for Collaboration,Your manager asks you to build some reports on your group tasks. Where do you navigate on the platform to start?,,Resource > Resource Reports > Reports - New + Service Catalog > Request Reports + Reports > Create New + Reports > Getting Started + Self-Service > My Reports + Performance Analytics > Create Reports,Reports > Create New,6,1,12,0,0,0,,
14,Exam 1,Question 14,Easy,Database Management,What related list can you use to extend and track the different types of groups assigned to a Configuration Item?,,Resource Group + Dynamic CI Group + CMDB Alert Groups + Teams,Teams,4,1,15,0,0,0,,
15,Exam 1,Question 15,Hard,Platform Overview and Navigation,Which of the following is a true statement about the admin role?,Select 3 Answers from the below options.,To grant the admin role to a user the granting user must also have the admin role. + Non-admin users cannot add users to a group containing the admin role. + A non-admin user with only the security_admin role can add a user to a group that contains the security_admin role. + A user with only the admin role cannot grant the security_admin role to other users. + A user with only the user_admin role can grant the admin role to other users.,To grant the admin role to a user the granting user must also have the admin role. + Non-admin users cannot add users to a group containing the admin role. + A user with only the admin role cannot grant the security_admin role to other users.,5,3,14,0,0,0,,
16,Exam 1,Question 16,Hard,Self-Service & Automation,How can you access the local flow variables in the Flow Designer?,,As separate tabs on the Home page + As new icons in the Flow Properties + As data pills in the Data panel + As help cards in the Help panel,As data pills in the Data panel,4,1,14,0,0,0,,
17,Exam 1,Question 17,Easy,Configuring Applications for Collaboration,Select the report visualisation types you can generate from a list of records.,Select 2 Answers from the below options.,Pie chart + Line chart + Single score + Bar chart,Pie chart + Bar chart,4,2,16,0,0,0,,
18,Exam 1,Question 18,Medium,Configuring Applications for Collaboration,"Which menu provides options related to viewing, configuring, creating favourites and saving form data?",,Form Layout Menu + Form Column Menu + Form Personalisation Menu + Form Context Menu,Form Context Menu,4,1,11,0,0,0,,
19,Exam 1,Question 19,Easy,Data Migration and Integration,"Which script runs when a record is displayed, inserted, updated, deleted or when a table is queried?",,UI Policy + Data Policy + Business Rule + Client Script,Business Rule,4,1,17,0,0,0,,
20,Exam 1,Question 20,Easy,Instance Configuration,What is selected on the Now Platform to impersonate another user?,,System settings + Application Navigator + User menu + Magnifying glass,User menu,4,1,20,0,0,0,,
21,Exam 1,Question 21,Medium,Self-Service & Automation,What are the typical Tier 2 support tasks that virtual agents can perform so that the support agents can focus on more complex user issues?,Select 3 Answers from the below options.,Answering FAQs + Performing diagnostics + Providing how-to information + Impersonating users,Answering FAQs + Performing diagnostics + Providing how-to information,4,3,16,0,0,0,,
22,Exam 1,Question 22,Easy,Configuring Applications for Collaboration,What functionality can you use to track the time a task has been open to ensure that tasks are completed within an allotted time?,,Service Level Agreements + Inactivity monitors + Approvals + Assignment rules,Service Level Agreements,4,1,17,0,0,1,,
23,Exam 1,Question 23,Hard,Database Management,You can identify tables without report_view access control lists (ACLs) and evaluate which users won't pass the read ACLs on a table. What application allows you to compare reports against all report_view and the corresponding read  ACLs?,,Reporting Statistics Reports + Anonymous Report Center + Report Security - enforce access control checks + ACL Assessment for Reports + Security Jump Start (ACL Rules),ACL Assessment for Reports,5,1,12,0,0,0,,
24,Exam 1,Question 24,Easy,Configuring Applications for Collaboration,What are the main sections when you are configuring email notifications?,Select 3 Answers from the below options.,What it will contain + How to respond + Who will receive + How often to send + When to send,What it will contain + Who will receive + When to send,5,3,13,0,0,1,,
25,Exam 1,Question 25,Easy,Self-Service & Automation,What options are available to define the fulfilment process for a service catalogue item?,Select 3 Answers from the below options.,Flow + Workflow + Execution Plan + Plan + Roadmap,Flow + Workflow + Execution Plan,5,3,14,0,0,0,,
26,Exam 1,Question 26,Medium,Database Management,What are the different Schema relationship types that are supported for tables?,Select 4 Answers from the below options.,Depending + Extending + Referencing + Depended by + Extended by + Referenced by,Extending + Referencing + Extended by + Referenced by,6,4,10,0,0,0,,
27,Exam 1,Question 27,Hard,Self-Service & Automation,What are the three types of Flow Designer triggers?,Select 3 Answers from the below options.,Work-based + Role-based + Record-based + Schedule-based + Application-based,Record-based + Schedule-based + Application-based,5,3,14,0,0,1,,
28,Exam 1,Question 28,Hard,Instance Configuration,You can use the Data management plugins to define table relationships or minimise performance issues. What are these plugins?,Select 3 Answers from the below options.,Many to Many task relations + Database Rotations + Schema map + Table cleaner + Data Archiving,Many to Many task relations + Database Rotations + Data Archiving,5,3,14,0,0,0,,
29,Exam 1,Question 29,Medium,Database Management,Which admin role is required to modify access control rules?,,business_rule_admin + admin + security_admin + itil_admin + u_acl_admin + metric_admin,security_admin,6,1,11,0,0,0,,
30,Exam 1,Question 30,Hard,Configuring Applications for Collaboration,Who can add or remove widgets in a dashboard?,Select 3 Answers from the below options.,Users with dashboard_admin role + Users with report_admin role + Users with view access to the dashboard + Dashboard owner + Users with edit access to the dashboard,Users with dashboard_admin role + Dashboard owner + Users with edit access to the dashboard,5,3,10,0,0,0,,
31,Exam 1,Question 31,Medium,Database Management,What access control rules are created by default when creating a custom table?,Select 4 Answers from the below options.,Create + Write + Archive + Read + Delete + Access,Create + Write + Read + Delete,6,4,15,0,0,1,,
32,Exam 1,Question 32,Medium,Data Migration and Integration,Which ServiceNow feature do you use to begin the creation of an application?,,Guided Application Creator + Configuration Management Database (CMDB) + Integration Hub + System Dictionary,Guided Application Creator,4,1,7,0,0,0,,
33,Exam 1,Question 33,Hard,Database Management,ServiceNow can import data from which of the following external data source types when a valid transform map is available?,Select 3 Answers from the below options.,CSV + LDAP + REST + OIDC + JSON,LDAP + REST + OIDC,5,3,17,0,0,0,,
34,Exam 1,Question 34,Easy,Platform Overview and Navigation,Which search feature can you use to narrow down search results in ServiceNow?,,Context Finder + Platform Locators + Wildcard Characters + Containers,Wildcard Characters,4,1,10,0,0,0,,
35,Exam 1,Question 35,Medium,Instance Configuration,What allows agents to initiate a group discussion from a Workspace task-based or interaction-based record?,,Help menu + Sidebar + Virtual Agent + Connect Hub + Chatbot,Sidebar,5,1,10,0,0,0,,
36,Exam 1,Question 36,Medium,Configuring Applications for Collaboration,Form splits help you organise fields on a form into columns for an enhanced visual appeal. What role is required to enable multiple form splits on the platform?,,admin + itil + form_admin + personalize_form,admin,4,1,11,0,0,1,,
37,Exam 1,Question 37,Easy,Self-Service & Automation,What type of service catalogue item is used to create an incident or raise an HR case?,,Order an item + Request a service + Maintain a service + Record producer,Record producer,4,1,12,0,0,0,,
38,Exam 1,Question 38,Easy,Configuring Applications for Collaboration,What Visual Task Board type automatically updates the tasks when the respective cards are edited or change lanes?,,List + Guided + Flexible + Freeform,Guided,4,1,9,0,0,0,,
39,Exam 1,Question 39,Easy,Database Management,What CMDB table stores the basic attributes of all the configuration items?,,CI Relationship cmdb_rel_ci + Configuration File cmdb_ci_config_file + Base Configuration Item cmdb + Configuration Item cmdb_ci,Configuration Item cmdb_ci,4,1,8,0,0,0,,
40,Exam 1,Question 40,Easy,Configuring Applications for Collaboration,Which tab contains the Activity Stream for a task?,,Related Links + Related Records + Notes + History + Resolution Information,Notes,5,1,12,0,0,1,,
41,Exam 1,Question 41,Easy,Database Management,What is Configuration Item (CI)?,,"A database used to store configuration records throughout their lifecycle + Components of an infrastructure required to deliver a product or service + A set of tools and databases that are used to manage an organizations configuration data + Information that further describes a CI such as a name, serial number or operating system",Components of an infrastructure required to deliver a product or service,4,1,11,0,0,0,,
42,Exam 1,Question 42,Easy,Instance Configuration,Which of the following are different ways to add favourites in Next Experience?,Select 3 Answers from the below options.,"Select the personalisation gear icon in the header of the page. + ""Select the Create Favorite item from the context menu of a list or record."" + Select the star icon next to a module or application name in the All menu. + Select the heart icon at the bottom of a knowledge base article. + Select the star icon in the contextual app pill.","""Select the Create Favorite item from the context menu of a list or record."" + Select the star icon next to a module or application name in the All menu. + Select the star icon in the contextual app pill.",5,3,7,0,0,0,,
43,Exam 1,Question 43,Easy,Configuring Applications for Collaboration,"You have a requirement to create a set of filter conditions on the Incidents list to show the records that satisfy the following conditions:
●	Incidents where the state is Resolved or Closed;
●	Incidents where the Assignment Group is one of your groups.
After clicking the Funnel icon and defining the first condition, what steps should you take?",,Click Run; overwrite the first condition with the second condition; press enter. + Click AND button; define the second condition; press the Save button. + Click OR button; define the second condition; press Run. + This requirement cannot be achieved by the list filters since it requires advanced reporting. + Click AND button; define the second condition; click Run. + Select Assignment group on the Search box on the top bar; press enter.,Click AND button; define the second condition; click Run.,6,1,15,0,0,0,,
44,Exam 1,Question 44,Medium,Self-Service & Automation,Which of the following is a true statement regarding Flow Designer actions?,Select 3 Answers from the below options.,Provide the ability to build your own custom actions + Define when the flow is performed + Represent reusable operations for use across multiple flows + Require script to develop + Can be contained in a spoke,Provide the ability to build your own custom actions + Represent reusable operations for use across multiple flows + Can be contained in a spoke,5,3,13,0,0,1,,
45,Exam 1,Question 45,Medium,Platform Overview and Navigation,Which of the following is a true statement about user impersonation?,Select 2 Answers from the below options.,"Administrators will have limited access to certain features when impersonating some scoped app admins. + When impersonating another user, the administrator does not have the same access as the impersonated user. + The impersonation option is not available in the ServiceNow mobile apps. + Administrators can impersonate other authenticated users but cannot view impersonation logs. + Non-admin users with the impersonator role will have limited access if they impersonate admin users. + Users will need to log out after each impersonation to end it.",Administrators will have limited access to certain features when impersonating some scoped app admins. + Non-admin users with the impersonator role will have limited access if they impersonate admin users.,6,2,13,0,0,0,,
46,Exam 1,Question 46,Hard,Data Migration and Integration,What are the different types of Client Scripts that are supported in ServiceNow?,Select 4 Answers from the below options.,OnSubmit() + OnDelete() + OnLoad() + OnCellEdit() + OnSave() + OnChange(),OnSubmit() + OnLoad() + OnCellEdit() + OnChange(),6,4,12,0,0,0,,
47,Exam 1,Question 47,Hard,Database Management,Which CMDB feature tracks the activities and history of data sources as they insert and update Cl attributes?,Select 2 Answers from the below options.,CMDB 360 + CMDB Data Manager + Multisource CMDB + CI Class Manager + CMDB CI Lifecycle Management,CMDB 360 + Multisource CMDB,5,2,13,0,0,0,,
48,Exam 1,Question 48,Medium,Database Management,Which of the following is a true statement about importing data into ServiceNow?,,Every Transform Map must have at least one coalesce field. + Every application has one staging table. + Every import must have at least one Transform Map. + Every staging table can be used once. + Every date field has to be mapped.,Every import must have at least one Transform Map.,5,1,13,0,0,0,,
49,Exam 1,Question 49,Medium,Data Migration and Integration,"What can be used to extend the Flow Designer to call 3rd party systems, such as automating Microsoft Services and infrastructure using PowerShell and REST?",,Integration Hub + REST API Explorer + Third-Party Import Maps + Workflow,Integration Hub,4,1,13,0,0,0,,
50,Exam 1,Question 50,Medium,Database Management,Which tool do you use to determine the relationship between fields in an import set and an existing table?,,Target Table + Transform map + Import Set + Coalesce,Transform map,4,1,13,0,0,0,,
51,Exam 1,Question 51,Medium,Database Management,What CMDB Workspace feature lets you visualise the hierarchical map of CIs and the relationships between them while centred on a CI that you choose?,,Unified Map + 360¡ Relationship Visualisation + Visualisation Designer + Service Mapping + Schema Map,Unified Map,5,1,12,0,0,0,,
52,Exam 1,Question 52,Easy,Database Management,Which of the following is an example of a base table that is extended but is not extending another table?,,Incident incident + Change Request change_request + Task task + Business Service cmdb_ci_service,Task task,4,1,15,0,0,0,,
53,Exam 1,Question 53,Easy,Platform Overview and Navigation,What do each record and each field correspond to in a table?,,Each record corresponds to a column in a table and each field to a row on that table. + Each record and field corresponds to a row in a table. + Each record corresponds to a row in a table and each field to a column on that table. + Each record and field corresponds to a column in a table.,Each record corresponds to a row in a table and each field to a column on that table.,4,1,8,0,0,0,,
54,Exam 1,Question 54,Hard,Data Migration and Integration,What is the system behaviour when applying a data policy to the list view to make a field read-only?,,"The field will be hidden from the list view and cannot be added back to the personalised list. + The field will appear read-only and cannot be updated. + The field will appear to be editable, but the update will fail. + The field will still be editable and can be successfully updated.","The field will appear to be editable, but the update will fail.",4,1,14,0,0,0,,
55,Exam 1,Question 55,Medium,Database Management,Which of the following describes the relationship between the Problem and the Task tables?,,The Problem table is a remote table for the Task table. + The Problem table extends the Task table. + The Problem table is a parent of the Task table. + The Problem table has a many-to-many relationship with the Task table. + The Problem table is referenced in the Task table. + The Problem table is a database view of the Task table.,The Problem table extends the Task table.,6,1,16,0,0,0,,
56,Exam 1,Question 56,Easy,Self-Service & Automation,"(Washington DC) What application enables you to quickly write drafts of knowledge articles based on cases, HR cases, or incidents?",,Knowledge Creator + Knowledge Manager + Now Assist + Knowledge Assist,Now Assist,4,1,7,0,0,0,,
57,Exam 1,Question 57,Easy,Instance Configuration,(Washington DC) You can use AI field recommendations to create a list of top recommendations or to automatically fill out fields in a Workspace form. What icon marks the fields that provide AI recommendations?,,Star icon + Sparkle icon + Robot icon + Information icon,Sparkle icon,4,1,15,0,0,0,,
58,Exam 1,Question 58,Easy,Platform Overview and Navigation,Which of the following applications is available to all users?,,Facilities + Incident + Self-Service + Change,Self-Service,4,1,18,0,0,1,,
59,Exam 1,Question 59,Easy,Data Migration and Integration,What do you configure to instruct fields how to behave on a form when a UI policy is triggered?,,Data Policy + UI Actions + UI Policy Action + Client Script,UI Policy Action,4,1,17,0,0,0,,
60,Exam 1,Question 60,Medium,Configuring Applications for Collaboration,Where do you navigate to see the notifications that are currently defined on the Now Platform?,,Notifications > Email > System Notifications + System Definitions > Notifications + System Notification > Email > Notifications + System Notifications > Definitions,System Notification > Email > Notifications,4,1,10,0,0,0,,
61,Exam 2,Question 1,Hard,Self-Service & Automation,What filter condition allows you to report on incidents created from the 'Create Incident' record producer where the value for the 'Urgency' question is '2-Medium'?,,"Apply additional group by on ""Questions"": ""Create Incident.Urgency"". + Apply a related list filter condition: ""Urgency"" is ""2-Medium"". + Apply a filter condition: ""Questions.Create Incident.Urgency"" is ""2-Medium"". + Apply a filter condition: ""Urgency"" is ""2-Medium"".","Apply a filter condition: ""Questions.Create Incident.Urgency"" is ""2-Medium"".",4,1,11,0,0,0,,
62,Exam 2,Question 2,Medium,Database Management,"In your implementation, the following tables extend each other:
●	The Configuration Item [cmdb_ci] table extends the Base Configuration Item [cmdb] table.
●	The Service [cmdb_ci_service] table extends the Configuration Item [cmdb_ci] table.
●	The Business Service [cmdb_ci_service_business] table extends the Service [cmdb_ci_service] table.
Based on the above mapping, which table(s) are child, parent and/or base tables?",Select 4 Answers from the below options.,Base Configuration Item table is a Parent table. + Configuration Item table is a Parent table. + Base Configuration Item table is a Base table. + Service table is a Child table. + Service table is a Base table. + Base Configuration Item table is a Child table. + Business Service table is a Parent table. + Business Service table is a Base table.,Base Configuration Item table is a Parent table. + Configuration Item table is a Parent table. + Base Configuration Item table is a Base table. + Service table is a Child table.,8,4,16,0,0,0,,
63,Exam 2,Question 3,Hard,Database Management,How can you improve the performance of the CSDM and the CMDB Data Foundations Dashboards?,,By restricting access to certain roles + By adding custom-built metrics + By enabling new metrics + By deactivating unnecessary metrics + By increasing the load time property,By deactivating unnecessary metrics,5,1,14,0,0,0,,
64,Exam 2,Question 4,Medium,Configuring Applications for Collaboration,Which of the following are valid report-sharing options?,Select 4 Answers from the below options.,Publish + Add to dashboard + Export to PDF + Schedule + Take a screenshot + Clone,Publish + Add to dashboard + Export to PDF + Schedule,6,4,16,0,0,0,,
65,Exam 2,Question 5,Easy,Instance Configuration,"(Washington DC) Application Manager allows admins to install, update, and manage licensed applications and plugins for their instances.
What information can be found on the details page of an application or plugin within the Application Manager?",Select 3 Answers from the below options.,Key features + Pricing details + Compatibility + Release notes + Customer reviews,Key features + Compatibility + Release notes,5,3,14,0,0,1,,
66,Exam 2,Question 6,Easy,Configuring Applications for Collaboration,Which module displays a list of tasks assigned to a user's group but not yet assigned to an individual user?,,My Teams Work + My Teams Tasks + My Groups Tasks + My Groups Work,My Groups Work,4,1,12,0,0,0,,
67,Exam 2,Question 7,Hard,Self-Service & Automation,What type of Flow Designer trigger is needed for an Inbound Email Action?,,Role-based + Record-based + Application-based + Schedule-based,Application-based,4,1,10,0,0,0,,
68,Exam 2,Question 8,Easy,Configuring Applications for Collaboration,"A filter is a set of conditions applied to a table to help you find and work with a subset of data.
In the Now Platform, filter conditions are also referred to as:",,Column Headings + Breadcrumbs + Title Bars + Field Values,Breadcrumbs,4,1,9,0,0,0,,
69,Exam 2,Question 9,Easy,Self-Service & Automation,What service catalogue component allows for multiple catalogue items to be logically grouped as one request?,,Variable Set + Order Guide + Catalogue Item + Record producer,Order Guide,4,1,15,0,0,0,,
70,Exam 2,Question 10,Medium,Database Management,What role do you need in creating or updating access control rules?,,sn_sec_int.admin + security_admin + sn_si.admin + sn_sec_cmn.admin,security_admin,4,1,9,0,0,0,,
71,Exam 2,Question 11,Hard,Instance Configuration,Which of the following branding features can be configured?,Select 4 Answers from the below options.,Navigator responses + Navigator position + Navigator background and text colours + System date/time formatting + Banner image text and colours + Browser tab title,Navigator background and text colours + System date/time formatting + Banner image text and colours + Browser tab title,6,4,8,0,0,0,,
72,Exam 2,Question 12,Easy,Self-Service & Automation,Which Chatbot on the Now Platform allows you to send notifications directly to Slack and Microsoft Teams users?,,Virtual Agent + ChatGPT + Sidebar + Now Notifications + Connect Chat,Virtual Agent,5,1,10,0,0,0,,
73,Exam 2,Question 13,Easy,Platform Overview and Navigation,Which of the following is the definition of a role in ServiceNow?,,A collection of permissions + A persona in workflows + A set of access control rules + An Actor in user stories + A set of user access policies,A collection of permissions,5,1,15,0,0,0,,
74,Exam 2,Question 14,Medium,Database Management,What type of relationship is recommended between Incident and SLA tables to report on incidents resolved by SLA per incident category?,,Many-to-Many + Database Views + One-to-Many + Extensions,Database Views,4,1,12,0,0,0,,
75,Exam 2,Question 15,Easy,Configuring Applications for Collaboration,"By default, a report is shared with the following:",,All users and groups + The report creator only + Only groups that the report creator belongs to + All roles,The report creator only,4,1,9,0,0,0,,
76,Exam 2,Question 16,Hard,Database Management,What changes are automatically reflected in dynamic application services?,,Any unmatched CI that are not found in the CMDB + Any CI reclassification in the CMDB + Any change to the operational status of a CI + Any change to CI relationships in the CMDB CI Relationship table,Any change to CI relationships in the CMDB CI Relationship table,4,1,10,0,0,1,,
77,Exam 2,Question 17,Easy,Database Management,Why do organisations fail to complete implementation or realise business value from the CMDB?,Select 3 Answers from the below options.,Unknown Configuration Items + Too many non-IT Configuration Items + Inconsistent data quality + Ill-defined relationships among Configuration Items,Unknown Configuration Items + Inconsistent data quality + Ill-defined relationships among Configuration Items,4,3,11,0,0,0,,
78,Exam 2,Question 18,Medium,Database Management,What do Application Services represent from an Application Portfolio Management (APM) perspective?,,Servers + Production Instances + Configuration Items + Installed Instances,Installed Instances,4,1,10,0,0,1,,
79,Exam 2,Question 19,Easy,Self-Service & Automation,What is the best way to privately suggest an article revision to the knowledge manager from the Service Portal?,,Flag article + Rate article + Leave comments + Edit article,Flag article,4,1,10,0,0,0,,
80,Exam 2,Question 20,Easy,Configuring Applications for Collaboration,What does a column in a list represent in a ServiceNow instance?,,A record + An attribute + A filter + A field,A field,4,1,12,0,0,0,,
81,Exam 2,Question 21,Easy,Database Management,"You can define the relationship between fields in an import set table and an existing ServiceNow table.
Where is this relationship determined in the import process?",,Transform map + Target tables + External data sources + Import set table + Database view,Transform map,5,1,9,0,0,0,,
82,Exam 2,Question 22,Medium,Database Management,In what order are access controls evaluated?,,"First, at the Field-level (most specific to most general), then at the Table-level (most specific to most general) + Table-level and Field-level are evaluated separately and independently. + Table-level and Field-level are evaluated together simultaneously. + First at the Table-level (most specific to most general), then at the Field-level (most specific to most general)","First at the Table-level (most specific to most general), then at the Field-level (most specific to most general)",4,1,10,0,0,0,,
83,Exam 2,Question 23,Medium,Platform Overview and Navigation,"You can use machine-learning solutions in your ServiceNow instance to predict, recommend, and organise data outcomes. These solutions can help resolve requests faster by categorising, assigning and prioritising them using the Short Description.
What is the name of this platform function?",,Agent Assist + Predictive Intelligence + Performance Analytics + User Experience Analytics + Virtual Agent + Natural Language Understanding,Predictive Intelligence,6,1,10,0,0,0,,
84,Exam 2,Question 24,Easy,Database Management,What are the three main tables in the CMDB?,Select 3 Answers from the below options.,Base Configuration Item cmdb + Configuration Item cmdb_ci + CI Relationship cmdb_rel_ci + CMDB Properties cmdb_properties + CMDB Baseline cmdb_baseline,Base Configuration Item cmdb + Configuration Item cmdb_ci + CI Relationship cmdb_rel_ci,5,3,15,0,0,1,,
85,Exam 2,Question 25,Hard,Configuring Applications for Collaboration,"An incident manager is responsible for the Critical Incidents assignment group. The group contains a few team members working on different Incident tasks; however, the incident manager cannot see any tasks on the 'Service Desk>My Group Work' list.
What of the following could explain this?",Select 2 Answers from the below options.,The incident manager is not listed as the assignment group manager. + The incident manager is not part of the Service Desk group. + The incident manager is not a member of the Critical Incidents group. + All incident tasks are active but not pending. + The My Groups Work list does not show Incident tasks by default. + The incident manager does not have the itil or service_fulfiller role. + No incident task is assigned to any of the group members.,The incident manager is not a member of the Critical Incidents group. + The incident manager does not have the itil or service_fulfiller role.,7,2,12,0,0,0,,
86,Exam 2,Question 26,Easy,Configuring Applications for Collaboration,What needs to be configured to create a new form view?,,Related List + Form Layout + List Layout + List Design,Form Layout,4,1,13,0,0,0,,
87,Exam 2,Question 27,Medium,Data Migration and Integration,Which of the following run scripts client-side?,Select 2 Answers from the below options.,Business Rule + Client Script + Script Include + UI Policy,Client Script + UI Policy,4,2,9,0,0,0,,
88,Exam 2,Question 28,Hard,Database Management,"What platform feature, combined with field normalisation, does CMDB use to automatically check a CI's uniqueness?",,Identification and Reconciliation Engine (IRE) + ServiceNow Service Mapping + ServiceNow Discovery + ServiceNow Import Sets,Identification and Reconciliation Engine (IRE),6,1,12,0,0,0,,
89,Exam 2,Question 29,Easy,Configuring Applications for Collaboration,Which of the following are the UI actions in a form?,Select 3 Answers from the below options.,Form context menu items (right-click the header) + Form relationships + Form access + Form buttons + Form links (Related Links in a form),Form context menu items (right-click the header) + Form buttons + Form links (Related Links in a form),5,3,15,0,0,0,,
90,Exam 2,Question 30,Hard,Platform Overview and Navigation,Which user authentication method is used when it authenticates the user name and password configured in identity providers with a matching user account in the ServiceNow instance?,,Local database + External Single Sign-on (SSO) + Multi-factor + Digest Token,External Single Sign-on (SSO),4,1,17,0,0,0,,
91,Exam 2,Question 31,Medium,Database Management,Which option allows you to update existing Target Table records when importing data from an import set?,,Unique + Transform + Mandatory + Coalesce,Coalesce,4,1,7,0,0,0,,
92,Exam 2,Question 32,Hard,Database Management,Which of the following are database view limitations?,Select 3 Answers from the below options.,"The ""where"" clauses defined in the database view cannot be based on indexed fields. + In a clone request database view tables cannot be added as a data preserver. + Database views cannot be created on tables that participate in table rotation. + It is not possible to edit data within a database view.",In a clone request database view tables cannot be added as a data preserver. + Database views cannot be created on tables that participate in table rotation. + It is not possible to edit data within a database view.,4,3,13,0,0,0,,
93,Exam 2,Question 33,Medium,Configuring Applications for Collaboration,How do you group the records on a list based on the State field?,Select 3 Answers from the below options.,"On the natural language filter, type ‘group by state’ and select the Ask button. + On the Filter navigator, type ‘groupby.state’ and press enter. + On the Filter menu, select Group By > State. + On the list Context menu, select Group By > State. + On the State column title, click Context menu > Group By State. + In the Search box under the State column title, type ‘group’ and press enter.","On the natural language filter, type ‘group by state’ and select the Ask button. + On the list Context menu, select Group By > State. + On the State column title, click Context menu > Group By State.",6,3,14,0,0,0,,
94,Exam 2,Question 34,Medium,Configuring Applications for Collaboration,"When configuring an email notification, where can you choose field values from the record to include within the message?",,Variables context menu + Platform variables + Select variables + Select fields pane,Select variables,4,1,3,0,0,0,,
95,Exam 2,Question 35,Easy,Data Migration and Integration,What is an update set?,,"A server-side script that runs when a record is displayed, inserted, updated, or deleted or when a table is queried. + A series of tables and fields that store information about the Configuration Items (CIs) owned by your organisation. + Group of one or more changes that can be moved from one instance to another altogether. + One method of security that restricts access to data by requiring users to pass a set of requirements before they can interact with it.",Group of one or more changes that can be moved from one instance to another altogether.,4,1,12,0,0,0,,
96,Exam 2,Question 36,Hard,Database Management,What do access control list rules specify?,Select 2 Answers from the below options.,The operation required to access the object + The object and operation being secured + The relationship between the object and the operation + The permissions required to access the object,The object and operation being secured + The permissions required to access the object,4,2,13,0,0,0,,
97,Exam 2,Question 37,Easy,Platform Overview and Navigation,Which field type displays records from another table?,,Reference + Attachments + String + Choice,Reference,4,1,12,0,0,0,,
